2014-09-28	470624	0	0	0	0	318	318	12345	12284	0	0	0	0	0
2014-09-28	471073	0	0	0	1	99	99	12345	12284	9	4	0	0	0
2014-09-28	471115	0	0	4	3.5	119	119	12345	12284	6	1	0	0	0
2014-09-28	471165	0	0	0	0	138	138	12345	12284	7	2	0	0	0
2014-09-28	471170	0	0	0	0	178	178	12345	12284	8	3	0	0	0
2014-09-28	471225	0	0	4	0	168	168	12345	12284	8	3	0	0	5
2014-09-28	471301	0	0	0	0	126	126	12345	12284	6	1	0	0	0
2014-09-28	471311	0	0	0	0	238	238	12345	12284	8	3	0	0	0
2014-09-28	473762	0	0	0	0	138	138	12345	12284	6.9	1.9	0	0	0
2014-09-28	474398	0	0	0	2.5	130	130	12345	12284	10	5	0	0	1
2014-09-28	474425	0	0	0	1	88	88	12345	12284	8.8	3.8	0	0	0
2014-09-28	475134	0	0	0	0	168	168	12345	12284	6	1	0	0	0
2014-09-28	477642	0	0	0	2	168	168	12345	12284	8	3	0	0	5
2014-09-28	477717	0	0	0	0	78	78	12345	12284	7.8	2.8	0	0	0
2014-09-28	478173	0	0	0	0	148	148	12345	12284	8	3	0	0	0
2014-09-28	478812	0	0	0	3	139	139	12345	12284	0	0	0	0	0
2014-09-28	479432	0	0	0	0	268	268	12345	12284	7	2	0	0	0
2014-09-28	479772	0	0	0	0	338	338	12345	12284	30	25	0	0	0
2014-09-28	479878	0	0	0	0	168	168	12345	12284	0	0	0	0	0
2014-09-28	479976	0	0	0	0	128	128	12345	12284	0	0	0	0	0
2014-09-28	479985	0	0	0	0	138	138	12345	12284	0	0	0	0	0
2014-09-28	491460	0	0	2	1	98	98	12345	12284	8	3	0	0	0
2014-09-28	492001	0	0	0	0	78	78	12345	12284	8	3	0	0	0
2014-09-28	492031	0	0	0	0	108	108	12345	12284	5.4	0.4	0	0	0
2014-09-28	492067	0	0	0	2.33	99	99	12345	12284	0	0	0	0	0
2014-09-28	492570	0	0	0	0	208	208	12345	12284	10	5	0	0	0
2014-09-28	492638	0	0	1	3	118	118	12345	12284	12	7	0	0	0
2014-09-28	493007	0	0	0	0	99	99	12345	12284	7	2	0	0	0
2014-09-28	493053	0	0	0	0	158	158	12345	12284	7.9	2.9	0	0	0
2014-09-28	493373	0	0	0	0	128	128	12345	12284	8	3	0	0	0
2014-09-28	493701	0	0	0	0	168	168	12345	12284	13	8	0	0	0
2014-09-28	493720	0	0	0	0	239	239	12345	12284	11	6	0	0	0
2014-09-28	495128	0	0	0	0	158	158	12345	12284	9	4	0	0	0
2014-09-28	495322	0	0	0	0	118	118	12345	12284	8	3	0	0	0
2014-09-28	495367	0	0	0	0	176	176	12345	12284	8	3	0	0	0
2014-09-28	495369	0	0	0	2	118	118	12345	12284	11	6	0	0	0
